,meter,source,statement,context,tags,TRUE,mostly-true,half-true,barely-true,FALSE,pants-fire
0,FALSE,Bloggers,“Biden campaign director arrested for electoral fraud.”,a Facebook post,"['Elections', 'Texas', 'Facebook Fact-checks', 'Bloggers']",8,18,22,41,154,357
1,mostly-true,Alexandria Ocasio-Cortez,“Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.”,a Tweet,"['Congress', 'Health Care', 'Medicare', 'New York', 'Alexandria Ocasio-Cortez']",0,2,2,0,5,1
2,fire,YouTube videos,The U.S. military seized servers in Germany tied to Dominion Election Systems.,a YouTube video,"['Elections', 'Facebook Fact-checks', 'YouTube videos']",0,0,1,0,10,6
3,TRUE,Tammy Baldwin,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",a TV interview,"['Criminal Justice', 'Elections', 'States', 'Wisconsin', 'Tammy Baldwin']",9,13,12,12,6,0
4,FALSE,Facebook posts,“These are real to date pictures taken during the Million (MAGA) March 2020.”,a series of photos,"['National', 'Facebook Fact-checks', 'Facebook posts']",18,39,72,108,526,258
5,fire,Facebook posts,"“Milwaukee Elections Chief Lost Elections Flash Drive in Morning Hours of November 4th When Democrats Miraculously Found 120,000 Votes for Joe Biden.”",a Facebook post,"['National', 'Facebook Fact-checks', 'Facebook posts']",18,39,72,108,526,258
6,fire,Instagram posts,A member of Joe Biden’s COVID-19 task force recommends “withholding food stamps and rent assistance from those who refuse coronavirus vaccines.”,an Instagram post,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts']",1,0,3,9,30,11
7,fire,Facebook posts,A screenshot shows Tucker Carlson announcing he’ll “be starting at NewsMax next month.”,a screenshot,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts']",1,0,3,9,30,11
8,FALSE,Kayleigh McEnany,"“More than one MILLION marchers for President @realDonaldTrump descend on” Washington, D.C., on Nov. 14.",a tweet,"['National', 'Kayleigh McEnany']",0,1,1,1,2,1
9,fire,Facebook posts,Says Sen. Kelly Loeffler said on Parler that “Black people shouldn’t be allowed to vote.”,a Facebook post,"['National', 'Kayleigh McEnany']",0,1,1,1,2,1
10,mostly-false,Erick Erickson,"Says Raphael Warnock ""ran over his wife"" and was ""arrested for obstructing an investigation into child abuse.""",a tweet,"['Georgia', 'Candidate Biography', 'Crime', 'PunditFact', 'Erick Erickson']",1,0,0,2,2,0
11,FALSE,Facebook posts,“Facebook removed the title of ‘President’ from Donald Trump and designated him as ‘Political Candidate.’”,a post on Facebook,"['Georgia', 'Candidate Biography', 'Crime', 'PunditFact', 'Erick Erickson']",1,0,0,2,2,0
12,FALSE,Instagram posts,“Ticketmaster is planning mandatory COVID vaccine identification for concert attendance.”,an Instagram post,"['Georgia', 'Candidate Biography', 'Crime', 'PunditFact', 'Erick Erickson']",1,0,0,2,2,0
13,FALSE,Allen West,"Says early voting opens the country ""up for this chicanery and this fraud that we’re seeing.”",in a radio interview,"['Elections', 'Texas', 'Allen West']",3,1,3,6,11,4
14,mostly-false,Kelly Loeffler,Says Raphael Warnock “celebrated Fidel Castro and welcomed him to his church.”,a tweet,"['Georgia', 'Candidate Biography', 'Kelly Loeffler']",0,0,0,2,0,0
15,FALSE,Instagram posts,Says Donald Trump posed as an anonymous “Nevada poll worker” on Laura Ingraham’s show.,an Instagram post,"['Georgia', 'Candidate Biography', 'Kelly Loeffler']",0,0,0,2,0,0
16,fire,Rudy Giuliani,"Says there were “600,000 plus unlawful votes in Philly and Pitt.”",a tweet,"['National', 'Elections', 'Pennsylvania', 'Rudy Giuliani']",8,7,10,9,12,6
17,fire,Facebook posts,Says Dominion Voting System flipped votes to Joe Biden in states where Trump is bringing legal challenges.,a Facebook post,"['National', 'Elections', 'Pennsylvania', 'Rudy Giuliani']",8,7,10,9,12,6
18,mostly-false,Ben Wikler,"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",TV interview,"['National', 'Elections', 'States', 'Wisconsin', 'Ben Wikler']",0,0,0,1,1,0
19,fire,Donald Trump,“Pennsylvania and Michigan didn’t allow our poll watchers and/or vote observers to watch or observe.”,a tweet,"['National', 'Elections', 'Pennsylvania', 'Michigan', 'Donald Trump']",35,84,119,186,331,149
20,fire,Donald Trump,Dominion Voting Systems “deleted 2.7 million Trump votes nationwide.”,a tweet,"['National', 'Elections', 'Pennsylvania', 'Michigan', 'Donald Trump']",35,84,119,186,331,149
21,FALSE,Facebook posts,"""The real electoral map"" shows Donald Trump leading Joe Biden in electoral votes.",an image,"['National', 'Elections', 'Pennsylvania', 'Michigan', 'Donald Trump']",35,84,119,186,331,149
22,FALSE,Donald Trump,"Video shows California election workers ""cheating"" by collecting ballots from drop box on Nov. 4.",a tweet,"['National', 'Elections', 'Pennsylvania', 'Michigan', 'Donald Trump']",35,84,119,186,331,149
23,FALSE,Facebook posts,The media called the 2016 election for Hillary Clinton.,a Facebook post,"['National', 'Elections', 'Pennsylvania', 'Michigan', 'Donald Trump']",35,84,119,186,331,149
24,FALSE,Facebook posts,"“Biden lead disappears in NV, AZ, GA, PA.”",a Facebook post,"['National', 'Elections', 'Pennsylvania', 'Michigan', 'Donald Trump']",35,84,119,186,331,149
25,FALSE,Big League Politics,Detroit election worker trainings “reveal the mechanisms of the planned theft of the election”,a video,"['Michigan', 'Big League Politics']",0,0,0,0,2,0
26,fire,Instagram posts,"Says conservative website Judicial Watch published a story about “elite” units of the National Guard recounting official ballots that were printed with “an invisible, unbreakable code watermark and registered on a Quantum Blockchain System.”",an Instagram post,"['Michigan', 'Big League Politics']",0,0,0,0,2,0
27,FALSE,Facebook posts,"A judge has ordered a ""HAND RECOUNT by an INDEPENDENT COMMISSION in the state of Michigan, following hard evidence of voting fraud by Detroit City Election Commission.""",a screenshot,"['Michigan', 'Big League Politics']",0,0,0,0,2,0
28,FALSE,Viral image,Map shows 2020 election results.,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Viral image']",3,8,22,38,290,187
29,FALSE,Facebook posts,Video shows trashed ballots for Donald Trump.,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Viral image']",3,8,22,38,290,187
30,FALSE,Facebook posts,Church bells rang in Paris and fireworks were set off in London to celebrate Joe Biden’s presidential win.,a Facebook post,"['Elections', 'Facebook Fact-checks', 'Viral image']",3,8,22,38,290,187
31,fire,Matt Schlapp,"As an example of voter fraud, “we have literally 9,000 people who voted in this election (in Nevada) who don’t live in Nevada.”",a Fox News appearance,"['Nevada', 'Elections', 'Matt  Schlapp']",0,0,0,0,1,1
32,FALSE,Viral image,"Says “132,000 ballots in Fulton County, Ga., have been identified as likely ineligible,” and President Trump might win Georgia as a result.",a post on Facebook,"['Nevada', 'Elections', 'Matt  Schlapp']",0,0,0,0,1,1
33,FALSE,Dan Bishop,Says there are “indications of grossly improper conduct from election officials right here in my district.”,a tweet,"['Elections', 'North Carolina', 'Dan Bishop']",0,1,1,2,1,1
34,FALSE,Facebook posts,"Overnight, election workers “found” 140,000 mail in ballots in Wisconsin; 200,000 in Michigan and 1 million in Pennsylvania. “All for Biden. None for Trump.”",a Facebook post,"['Elections', 'North Carolina', 'Dan Bishop']",0,1,1,2,1,1
35,fire,Pamela Geller,A CNN video shows “HAMMER / Scorecard Voter Software Fraud in Real Time”,a post on the Geller Report,"['National', 'Corrections and Updates', 'Elections', 'Facebook Fact-checks', 'Pamela Geller']",0,0,1,0,1,2
36,FALSE,Roger Polack,More people in Kenosha County died from COVID-19 on Oct. 27 than in all of Germany,Twitter,"['Elections', 'Wisconsin', 'Coronavirus', 'Roger Polack']",0,0,0,0,1,0
37,fire,Eric Trump,“System 'Glitch' ... In Wisconsin - Reversal of Swapped Votes Removes Lead from Joe Biden.”,a tweet,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
38,FALSE,Instagram posts,If Donald Trump “didn’t win Michigan why does the actual government site say he did?”,an Instagram post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
39,FALSE,Instagram posts,“Joe Biden is no longer the President-elect according to RealClearPolitics.”,a screenshot,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
40,fire,Facebook posts,Siri gave “CONFIRMATION of the Democrats' sinister plan to REMOVE Sleepy Joe immediately using the 25th Amendment and instate Kamala Harris as President!”,a series of videos,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
41,FALSE,Bloggers,“Election worker brags about destroying Trump ballots; rips up a ballot for DJT on video.”,a blog post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
42,FALSE,Viral image,“CNN says Dick Cheney will be advising Biden on foreign policy.”,a Facebook post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
43,mostly-false,Bloggers,Says Nancy Pelosi has “suspicious ties” to a voting software company that was involved in glitches that favored Joe Biden.,a blog post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
44,FALSE,Bloggers,“Mitt Romney has been asked to lead Health and Human Services in Biden administration.”,a blog post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
45,FALSE,Viral image,"Says The Washington Times ran a front-page headline that said, “President Gore.”",a Facebook post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
46,FALSE,Viral image,"Says a New York Post cover used the headline “YOU'RE FIRED"" on Nov. 4 with an image of Donald Trump.",a Facebook post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
47,mostly-false,Facebook posts,"Officials in Fairfax, Va., gave 100,000 Trump votes to Biden.",a post on Facebook,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
48,FALSE,Facebook posts,"“The NAACP has received credible information that some of the white nationalist groups … will be looking to snatch black men and boys and hang them, shoot them, torture them and kill them.”",a Facebook post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
49,FALSE,Facebook posts,An election worker in Georgia threw away a ballot.,an Instagram post,"['Elections', 'Wisconsin', 'Eric Trump']",0,0,0,1,1,2
50,FALSE,Tweets,"A list shows over 14,000 dead people voted in Wayne County, Michigan.",a tweet,"['Michigan', 'Tweets']",1,3,4,4,19,15
51,FALSE,Nevada Republican Party,"Republicans in Nevada found “at least 3,062 instances of voter fraud. ... Thousands of individuals have been identified who appear to have violated the law by casting ballots after they moved from NV.""",a tweet,"['Nevada', 'Elections', 'Nevada Republican Party']",0,0,0,0,1,0
52,FALSE,Ted Cruz,Philadelphia is “clouding the vote counting in a shroud of darkness.”,a Fox News interview,"['Elections', 'Texas', 'Pennsylvania', 'Ted Cruz']",7,22,20,44,42,9
53,FALSE,Instagram posts,Says the logo of a porn website appeared during a CNN broadcast.,an Instagram post,"['Elections', 'Texas', 'Pennsylvania', 'Ted Cruz']",7,22,20,44,42,9
54,fire,Donald Trump,"“If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us.”",a White House speech,"['Elections', 'Texas', 'Pennsylvania', 'Ted Cruz']",7,22,20,44,42,9
55,fire,Kevin McCarthy,"In Iowa, ""they have allowed a little over 300 people to re-vote.""",on 'The Ingraham Angle',"['Elections', 'California', 'Iowa', 'Kevin McCarthy']",0,1,4,1,5,1
56,FALSE,Facebook posts,"“Active crime scene in Spalding County, Ga., where ballots for President Donald Trump were discovered in a dumpster.”",a Facebook post,"['Elections', 'California', 'Iowa', 'Kevin McCarthy']",0,1,4,1,5,1
57,FALSE,Facebook posts,More poll workers caught filling out ballots in Delaware County Pennsylvania.,Facebook,"['Elections', 'California', 'Iowa', 'Kevin McCarthy']",0,1,4,1,5,1
58,FALSE,Facebook posts,Republican election challengers were unfairly barred from observing absentee ballot processing and counting in Detroit.,a Facebook post,"['Elections', 'California', 'Iowa', 'Kevin McCarthy']",0,1,4,1,5,1
59,fire,Dan Patrick,"Says “the city of Austin is a disaster if you haven’t been there. A great city, now one of the most dangerous cities in America and definitely in Texas.”",a press conference,"['Crime', 'Texas', 'Dan Patrick']",7,7,4,6,5,8
60,fire,Facebook posts,The Trump administration put secret watermarks on official ballots to trick cheating Democrats.,a Facebook post,"['Crime', 'Texas', 'Dan Patrick']",7,7,4,6,5,8
61,FALSE,Facebook posts,"“Arizona trooper found 50,000 ballots in dumpster all for President Trump!!”",a Facebook post,"['Crime', 'Texas', 'Dan Patrick']",7,7,4,6,5,8
62,FALSE,TikTok posts,Video showing collection of California ballots on Nov. 4 shows “cheating.”,a TikTok video,"['Elections', 'Facebook Fact-checks', 'California', 'TikTok posts']",0,1,2,1,3,1
63,FALSE,Facebook posts,"Video shows a poll worker committing voter fraud in Delaware County, Pa.",a Facebook post,"['Elections', 'Facebook Fact-checks', 'California', 'TikTok posts']",0,1,2,1,3,1
64,mostly-true,Paula Jean Swearengin,"“West Virginia is near last in the U.S.” rankings of education, clean drinking water, and child mortality.",a tweet,"['West Virginia', 'Environment', 'Children', 'Education', 'Paula Jean Swearengin']",0,1,0,0,0,0
65,FALSE,TikTok posts,"“40,000+ votes for Libertarian candidate Jo Jorgensen magically become votes for Joe Biden.”",a video posted on TikTok,"['West Virginia', 'Environment', 'Children', 'Education', 'Paula Jean Swearengin']",0,1,0,0,0,0
66,FALSE,Facebook posts,"“118-year-old William Bradley voted via an absentee ballot in Wayne County, Michigan this year. William died in 1984. They’re trying to steal this election.”",a Facebook post,"['West Virginia', 'Environment', 'Children', 'Education', 'Paula Jean Swearengin']",0,1,0,0,0,0
67,FALSE,Bloggers,Wagon arriving at Detroit counting center after deadline “may have been a ballot box.”,an article,"['West Virginia', 'Environment', 'Children', 'Education', 'Paula Jean Swearengin']",0,1,0,0,0,0
68,fire,Bloggers,“USPS failed to deliver 27% of mail-in ballots in South Florida”,a Facebook post,"['West Virginia', 'Environment', 'Children', 'Education', 'Paula Jean Swearengin']",0,1,0,0,0,0
69,FALSE,Social Media,"Says North Carolina’s ""Democratic Secretary of State"" controls the state's elections.",a tweet,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
70,fire,Facebook posts,"""Seven Milwaukee wards report more 2020 presidential votes than registered voters.”",a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
71,FALSE,Facebook posts,Thousands of military ballots were found in the trash in Wisconsin.,a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
72,FALSE,Viral image,"More mail-in ballots were counted in Lancaster County, Pa., than were returned.",a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
73,fire,Facebook posts,Say a video shows “staffers stuffing ballots in flint mi”,social media posts,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
74,FALSE,Facebook posts,"“If you were forced to use a Sharpie” to fill out your ballot, “that is voter fraud.”",a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
75,FALSE,Facebook posts,"Detroit has “2,503 dead people registered” including “one voter born in 1823.”",a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
76,FALSE,Facebook posts,Joe Biden was called for Michigan even though Donald Trump won more votes.,a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
77,FALSE,Viral image,“Any votes counted after midnight” on Election Day in Michigan “are fraud.”,a Facebook post,"['Elections', 'North Carolina', 'Social  Media']",0,1,0,1,2,2
78,fire,Donald Trump Jr.,Wisconsin voter turnout jumped from 67% in 2016 to 89% in 2020.,a Facebook post,"['Elections', 'Wisconsin', 'Donald Trump Jr.']",0,1,0,1,5,5
79,fire,Facebook posts,"“Wisconsin took a break, and when they returned, Biden coincidentally came back ahead by 100k.”",a Facebook post,"['Elections', 'Wisconsin', 'Donald Trump Jr.']",0,1,0,1,5,5
80,mostly-false,Tucker Carlson,"“When large numbers of people in Butler (Pa.) started killing themselves with narcotics, no one in Washington or New York or Los Angeles said a word about it.”",a Fox News broadcast,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
81,fire,Viral image,"Asks, “How is this possible?” with a chart showing that 104.41% of registered voters in North Carolina and 103.56% of registered voters in Wisconsin cast votes.",a post on Facebook,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
82,FALSE,Eric Trump,A person is on film “burning 80 Trump ballots.”,a tweet,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
83,FALSE,Donald Trump,"“Last night I was leading, often solidly, in many key States, in almost all instances Democrat run & controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted.”",a tweet,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
84,FALSE,Facebook posts,"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",a screenshot,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
85,FALSE,Tweets,"“40,000 rejected vote by mail ballots in DeKalb County need to be cured by Friday or they will be tossed.”",a post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
86,FALSE,Facebook posts,"“Now that it’s even, Nevada decides to stop counting and is now not going to count anything until TOMORROW! What?!”",a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
87,FALSE,Viral image,Early morning election results from Michigan and Wisconsin show voter fraud.,a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
88,FALSE,Facebook posts,“Wisconsin found 112k votes at 3am.”,a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
89,FALSE,Facebook posts,“This is the California model spreading across the country. When you need to flip things blue there’s always some mysterious mail-in ballots lying around that’ll do the trick. Shameful!”,a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
90,FALSE,Tweets,"Says Joe Biden received a sudden influx of 138,339 votes in Michigan while Donald Trump received none.",a tweet,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
91,FALSE,Facebook posts,"Six states ""decided to stop counting"" votes as Donald Trump was ""headed for a win” on election night.",an image,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
92,fire,Facebook posts,Photo shows massive wall in front of White House on Election Day.,a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
93,FALSE,Viral image,"Says Michigan Gov. Gretchen Whitmer said, “I will not certify the vote in my state for Donald Trump, no matter the outcome.”",a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
94,fire,Tweets,“Wisconsin has more votes than people who are registered to vote. … This is direct evidence of fraud.”,a tweet,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
95,FALSE,Facebook posts,"Voters in Maricopa County, Ariz., were forced to vote using Sharpie pens that aren’t read by voting machines.",a Facebook post,"['National', 'Drugs', 'Pundits', 'PunditFact', 'Tucker Carlson']",0,1,1,4,2,4
